filename,FaceOcclusion,gender,source_a,source_b,alpha,label_a,label_b,source_blend
data/synthetic/blend_v3_refined/images/refined_000055.webp,0.513879,1.0,database3/database3/m.023c9m/33-FaceId-0_align.webp,database3/database3/m.01l20ql/51-FaceId-0_align.webp,0.6304,0.546029,0.495029,data/synthetic/blend_v3/images/blend_000055.webp
data/synthetic/blend_v3_refined/images/refined_000056.webp,0.58136,1.0,database3/database3/m.01pbxyc/56-FaceId-0_align.webp,database3/database3/m.026nflj/116-FaceId-1_align.webp,0.6492,0.518634,0.615254,data/synthetic/blend_v3/images/blend_000056.webp
data/synthetic/blend_v3_refined/images/refined_000057.webp,0.601153,1.0,database3/database3/m.01y_15/49-FaceId-0_align.webp,database3/database3/m.026qq00/34-FaceId-2_align.webp,0.6189,0.621159,0.588833,data/synthetic/blend_v3/images/blend_000057.webp
data/synthetic/blend_v3_refined/images/refined_000058.webp,0.508782,0.0,database3/database3/m.01nhkxp/39-FaceId-0_align.webp,database3/database3/m.02khqq/78-FaceId-0_align.webp,0.6842,0.451213,0.535355,data/synthetic/blend_v3/images/blend_000058.webp
data/synthetic/blend_v3_refined/images/refined_000059.webp,0.518369,1.0,database3/database3/m.027tm9b/1-FaceId-0_align.webp,database3/database3/m.01jh24l/20-FaceId-0_align.webp,0.5231,0.535351,0.502887,data/synthetic/blend_v3/images/blend_000059.webp
data/synthetic/blend_v3_refined/images/refined_000060.webp,0.507846,1.0,database3/database3/m.0280hpj/17-FaceId-0_align.webp,database3/database3/m.01wkmh5/73-FaceId-1_align.webp,0.6182,0.475201,0.528005,data/synthetic/blend_v3/images/blend_000060.webp
data/synthetic/blend_v3_refined/images/refined_000061.webp,0.482381,1.0,database3/database3/m.027jv8/83-FaceId-0_align.webp,database3/database3/m.01wxxld/81-FaceId-0_align.webp,0.6009,0.514535,0.461025,data/synthetic/blend_v3/images/blend_000061.webp
data/synthetic/blend_v3_refined/images/refined_000062.webp,0.512701,0.0,database3/database3/m.026_czg/12-FaceId-0_align.webp,database3/database3/m.027jkhc/103-FaceId-0_align.webp,0.5473,0.458619,0.557426,data/synthetic/blend_v3/images/blend_000062.webp
data/synthetic/blend_v3_refined/images/refined_000063.webp,0.487384,1.0,database3/database3/m.01wqfb1/57-FaceId-0_align.webp,database3/database3/m.0280hpj/17-FaceId-0_align.webp,0.5099,0.500056,0.475201,data/synthetic/blend_v3/images/blend_000063.webp
data/synthetic/blend_v3_refined/images/refined_000066.webp,0.487051,0.0,database3/database3/m.0277b46/5-FaceId-0_align.webp,database1/img00024511.webp,0.6558,0.471699,0.495109,data/synthetic/blend_v3/images/blend_000066.webp
data/synthetic/blend_v3_refined/images/refined_000070.webp,0.530602,1.0,database3/database3/m.017m44/19-FaceId-0_align.webp,database3/database3/m.01pbxyc/80-FaceId-0_align.webp,0.5594,0.607897,0.469716,data/synthetic/blend_v3/images/blend_000070.webp
data/synthetic/blend_v3_refined/images/refined_000071.webp,0.456006,0.0,database2/database2/train/899.webp,database3/database3/m.01x72k/23-FaceId-0_align.webp,0.5657,0.460891,0.452255,data/synthetic/blend_v3/images/blend_000071.webp
data/synthetic/blend_v3_refined/images/refined_000072.webp,0.473418,0.0,database3/database3/m.013bym/49-FaceId-0_align.webp,database3/database3/m.02jkzb/35-FaceId-0_align.webp,0.6065,0.468732,0.476457,data/synthetic/blend_v3/images/blend_000072.webp
data/synthetic/blend_v3_refined/images/refined_000073.webp,0.476824,1.0,database2/database2/train/988.webp,database3/database3/m.0280hpj/17-FaceId-0_align.webp,0.5405,0.478734,0.475201,data/synthetic/blend_v3/images/blend_000073.webp
data/synthetic/blend_v3_refined/images/refined_000075.webp,0.577498,1.0,database3/database3/m.027tm9b/1-FaceId-0_align.webp,database3/database3/m.026nflj/116-FaceId-1_align.webp,0.5275,0.535351,0.615254,data/synthetic/blend_v3/images/blend_000075.webp
data/synthetic/blend_v3_refined/images/refined_000076.webp,0.475145,0.0,database3/database3/m.01kkgn/92-FaceId-0_align.webp,database3/database3/m.01qj2k7/46-FaceId-0_align.webp,0.659,0.52166,0.451078,data/synthetic/blend_v3/images/blend_000076.webp
data/synthetic/blend_v3_refined/images/refined_000077.webp,0.502454,1.0,database3/database3/m.025_8wn/36-FaceId-0_align.webp,database3/database3/m.01mxqdc/52-FaceId-0_align.webp,0.519,0.469008,0.53345,data/synthetic/blend_v3/images/blend_000077.webp
data/synthetic/blend_v3_refined/images/refined_000079.webp,0.491252,0.0,database3/database3/m.0277b46/5-FaceId-0_align.webp,database1/img00025413.webp,0.5984,0.471699,0.504373,data/synthetic/blend_v3/images/blend_000079.webp
data/synthetic/blend_v3_refined/images/refined_000082.webp,0.493205,0.0,database1/img00024511.webp,database1/img00017063.webp,0.5728,0.495109,0.491785,data/synthetic/blend_v3/images/blend_000082.webp
data/synthetic/blend_v3_refined/images/refined_000085.webp,0.469193,1.0,database3/database3/m.01jh24l/20-FaceId-0_align.webp,database3/database3/m.01vhmlf/73-FaceId-0_align.webp,0.6973,0.502887,0.454568,data/synthetic/blend_v3/images/blend_000085.webp
data/synthetic/blend_v3_refined/images/refined_000088.webp,0.466672,0.0,database3/database3/m.01s6thb/6-FaceId-0_align.webp,database3/database3/m.01nhkxp/39-FaceId-0_align.webp,0.5885,0.488778,0.451213,data/synthetic/blend_v3/images/blend_000088.webp
data/synthetic/blend_v3_refined/images/refined_000089.webp,0.497272,0.0,database3/database3/m.01wcpdn/99-FaceId-0_align.webp,database3/database3/m.027ykbv/43-FaceId-0_align.webp,0.5221,0.485094,0.508419,data/synthetic/blend_v3/images/blend_000089.webp
data/synthetic/blend_v3_refined/images/refined_000090.webp,0.459329,0.0,database3/database3/m.01x72k/23-FaceId-0_align.webp,database1/img00029247.webp,0.5213,0.452255,0.465826,data/synthetic/blend_v3/images/blend_000090.webp
data/synthetic/blend_v3_refined/images/refined_000093.webp,0.544856,0.0,database2/database2/train/1292.webp,database3/database3/m.01nhkxp/39-FaceId-0_align.webp,0.5072,0.641248,0.451213,data/synthetic/blend_v3/images/blend_000093.webp
data/synthetic/blend_v3_refined/images/refined_000095.webp,0.468351,1.0,database2/database2/train/988.webp,database3/database3/m.01wkmh5/89-FaceId-1_align.webp,0.6856,0.478734,0.463588,data/synthetic/blend_v3/images/blend_000095.webp
data/synthetic/blend_v3_refined/images/refined_000096.webp,0.486224,1.0,database3/database3/m.01l20ql/51-FaceId-0_align.webp,database2/database2/train/988.webp,0.5404,0.495029,0.478734,data/synthetic/blend_v3/images/blend_000096.webp
data/synthetic/blend_v3_refined/images/refined_000097.webp,0.456983,1.0,database3/database3/m.01wxxld/81-FaceId-0_align.webp,database3/database3/m.01vhmlf/73-FaceId-0_align.webp,0.626,0.461025,0.454568,data/synthetic/blend_v3/images/blend_000097.webp
data/synthetic/blend_v3_refined/images/refined_000098.webp,0.474398,1.0,database3/database3/m.025_8wn/36-FaceId-0_align.webp,database2/database2/train/988.webp,0.5542,0.469008,0.478734,data/synthetic/blend_v3/images/blend_000098.webp
data/synthetic/blend_v3_refined/images/refined_000099.webp,0.512633,0.0,database3/database3/m.01wdx3v/11-FaceId-0_align.webp,database1/img00017063.webp,0.5109,0.534411,0.491785,data/synthetic/blend_v3/images/blend_000099.webp
